"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"WrikeAccountSettings__c","Wrike Account Settings","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","Name","Name","string",80,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","CurrencyIsoCode","Currency ISO Code","picklist",3,true,"[]",,false,true,,"[""U.S. Dollar""]",false
"WrikeAccountSettings__c","Wrike Account Settings","SetupOwnerId","Location","reference",18,true,"[""Organization"",""Profile"",""User""]","SetupOwner",false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","OwnerId__c","OwnerId","string",80,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","SalesforceFolderId__c","SalesforceFolderId","string",255,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","WebHookKey__c","WebHookKey","string",80,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","WrikeAccountId__c","WrikeAccountId","string",255,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","WrikeClientId__c","WrikeClientId","string",255,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","WrikeClientSecret__c","WrikeClientSecret","string",255,true,"[]",,false,true,,"[]",false
"WrikeAccountSettings__c","Wrike Account Settings","WrikeServer__c","WrikeServer","url",255,true,"[]",,false,true,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"Wrike_API__c","Wrike API","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"Wrike_API__c","Wrike API","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"Wrike_API__c","Wrike API","Name","Name","string",80,true,"[]",,false,true,,"[]",false
"Wrike_API__c","Wrike API","CurrencyIsoCode","Currency ISO Code","picklist",3,true,"[]",,false,true,,"[""U.S. Dollar""]",false
"Wrike_API__c","Wrike API","SetupOwnerId","Location","reference",18,true,"[""Organization"",""Profile"",""User""]","SetupOwner",false,true,,"[]",false
"Wrike_API__c","Wrike API","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"Wrike_API__c","Wrike API","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"Wrike_API__c","Wrike API","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"Wrike_API__c","Wrike API","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"Wrike_API__c","Wrike API","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"Wrike_API__c","Wrike API","Code__c","Code","string",255,true,"[]",,false,true,,"[]",false
"Wrike_API__c","Wrike API","RefreshToken__c","Refresh Token","string",255,true,"[]",,false,true,,"[]",false
"Wrike_API__c","Wrike API","State__c","State","string",255,true,"[]",,false,true,,"[]",false
"Wrike_API__c","Wrike API","Token__c","Token","string",255,true,"[]",,false,true,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
